Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,1.9066739082336426,0,0,npl28,13.564581394195557,0.0026769638061523438,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.7138744987507616,1.9066739082336426,0,0,npl28,13.564581394195557,0.026525259017944336,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.7045986365228638,1.9066739082336426,0,0,npl28,13.564581394195557,0.00637364387512207,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.7130971949017811,1.9066739082336426,0,0,npl28,13.564581394195557,0.004572153091430664,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,1.0,2.180838108062744,0,0,npl28,12.18836522102356,0.002719402313232422,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.7577940074958263,2.180838108062744,0,0,npl28,12.18836522102356,0.03106689453125,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.7525693190698176,2.180838108062744,0,0,npl28,12.18836522102356,0.005733489990234375,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.7538605804208994,2.180838108062744,0,0,npl28,12.18836522102356,0.004965782165527344,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,1.0,1.3104357719421387,0,0,npl28,12.200902462005615,0.0029251575469970703,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.7155078517335534,1.3104357719421387,0,0,npl28,12.200902462005615,0.033299922943115234,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.7131925844089353,1.3104357719421387,0,0,npl28,12.200902462005615,0.005735158920288086,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.7187782598151491,1.3104357719421387,0,0,npl28,12.200902462005615,0.004602670669555664,MagicTelescope,ResNet,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
