Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.7,0.8418357372283936,0,0,npl13,4.258538722991943,0.0015888214111328125,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5726751807679271,0.8418357372283936,0,0,npl13,4.258538722991943,0.05415821075439453,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.5804175829744738,0.8418357372283936,0,0,npl13,4.258538722991943,0.020189762115478516,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5701845275435667,0.8418357372283936,0,0,npl13,4.258538722991943,0.012862682342529297,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.75,1.079948902130127,0,0,npl13,4.949541330337524,0.005965471267700195,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5751816801197578,1.079948902130127,0,0,npl13,4.949541330337524,0.03720879554748535,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.572319610289439,1.079948902130127,0,0,npl13,4.949541330337524,0.010831594467163086,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5743467196875454,1.079948902130127,0,0,npl13,4.949541330337524,0.024637699127197266,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.6499999999999999,0.011709928512573242,0,0,npl13,3.6633963584899902,0.0014247894287109375,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5090228337509239,0.011709928512573242,0,0,npl13,3.6633963584899902,0.0802149772644043,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.5072122749187439,0.011709928512573242,0,0,npl13,3.6633963584899902,0.02482128143310547,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5041220986486056,0.011709928512573242,0,0,npl13,3.6633963584899902,0.019620180130004883,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.7,0.009431838989257812,0,0,npl13,3.447143316268921,0.0011000633239746094,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5957731745984782,0.009431838989257812,0,0,npl13,3.447143316268921,0.04667162895202637,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.5922836029586221,0.009431838989257812,0,0,npl13,3.447143316268921,0.008656978607177734,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5893983494770568,0.009431838989257812,0,0,npl13,3.447143316268921,0.02503180503845215,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.6499999999999999,0.012420654296875,0,0,npl13,4.238924980163574,0.0011920928955078125,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5710238517936539,0.012420654296875,0,0,npl13,4.238924980163574,0.05141854286193848,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.5714002016098667,0.012420654296875,0,0,npl13,4.238924980163574,0.012469291687011719,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5796380864282853,0.012420654296875,0,0,npl13,4.238924980163574,0.012301921844482422,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,1.0,0.021395206451416016,0,0,npl13,3.3915374279022217,0.0010535717010498047,Electricity,LogisticRegression,10,onehot,onehot,Onehot -> [ MLP-Encoded => KIP => Decoded ] -> Onehot,KIP,MLP,encoded,decoded,False,centroid,Onehot -> [ FFN-ENC => KIP => DEC ] -> Onehot
