Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.95,0.00019407272338867188,0,0,Unknown,0.047202110290527344,0.0009071826934814453,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Train - Original,0.8952937831875831,0.00019407272338867188,0,0,Unknown,0.047202110290527344,0.13983416557312012,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Val,0.8932285978957516,0.00019407272338867188,0,0,Unknown,0.047202110290527344,0.03381609916687012,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Test,0.8802474412369425,0.00019407272338867188,0,0,Unknown,0.047202110290527344,0.033831119537353516,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Train,0.95,0.00020003318786621094,0,0,Unknown,0.05544877052307129,0.0031490325927734375,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Train - Original,0.7800020981395026,0.00020003318786621094,0,0,Unknown,0.05544877052307129,0.15714311599731445,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Val,0.7836404853177084,0.00020003318786621094,0,0,Unknown,0.05544877052307129,0.037146806716918945,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Test,0.7702629933950399,0.00020003318786621094,0,0,Unknown,0.05544877052307129,0.035150766372680664,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Closest => Original ] -> Onehot,KMeans,N/A,original,original,False,closest,Onehot -> [ KMeans/REAL => ORI ] -> Onehot
Train,0.9,0.0002040863037109375,0,0,Unknown,0.04670405387878418,0.0009100437164306641,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
Train - Original,0.9145035168258772,0.0002040863037109375,0,0,Unknown,0.04670405387878418,0.14672112464904785,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KMeans / Centroid => Original ] -> Onehot,KMeans,N/A,original,original,False,centroid,Onehot -> [ KMeans/SYN => ORI ] -> Onehot
