Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.8,0.001251220703125,0,0,idea-node-05,29.00226640701294,0.09095954895019531,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.6885360104106448,0.001251220703125,0,0,idea-node-05,29.00226640701294,0.38251781463623047,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.6883251493082491,0.001251220703125,0,0,idea-node-05,29.00226640701294,0.18724393844604492,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.6945959074853705,0.001251220703125,0,0,idea-node-05,29.00226640701294,0.19778084754943848,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,0.8500000000000001,0.0006666183471679688,0,0,idea-node-05,21.991662740707397,0.012886762619018555,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.7173375785429921,0.0006666183471679688,0,0,idea-node-05,21.991662740707397,0.401580810546875,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.7194925402360313,0.0006666183471679688,0,0,idea-node-05,21.991662740707397,0.20354843139648438,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.7248689551811657,0.0006666183471679688,0,0,idea-node-05,21.991662740707397,0.19005727767944336,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,0.75,0.0006654262542724609,0,0,idea-node-05,25.19745707511902,0.025440692901611328,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.745234145711855,0.0006654262542724609,0,0,idea-node-05,25.19745707511902,0.37618422508239746,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.7390325277340544,0.0006654262542724609,0,0,idea-node-05,25.19745707511902,0.199019193649292,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.7310060325804533,0.0006654262542724609,0,0,idea-node-05,25.19745707511902,0.18635249137878418,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,0.7,0.0006885528564453125,0,0,idea-node-05,25.28508472442627,0.00659489631652832,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.6982546453214904,0.0006885528564453125,0,0,idea-node-05,25.28508472442627,0.374584436416626,LawSchoolAdmissions,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
