Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,1.2808680534362793,0,0,npl18,3.2389583587646484,0.002213001251220703,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5135267831629877,1.2808680534362793,0,0,npl18,3.2389583587646484,0.06727790832519531,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.49817615770726514,1.2808680534362793,0,0,npl18,3.2389583587646484,0.024621963500976562,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5120891228195668,1.2808680534362793,0,0,npl18,3.2389583587646484,0.027782201766967773,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,1.0,1.1530826091766357,0,0,npl18,3.7807059288024902,0.002123594284057617,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5016458029319831,1.1530826091766357,0,0,npl18,3.7807059288024902,0.06461501121520996,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.49752379099841343,1.1530826091766357,0,0,npl18,3.7807059288024902,0.02581930160522461,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.49617511420016175,1.1530826091766357,0,0,npl18,3.7807059288024902,0.02956557273864746,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,1.0,1.3670713901519775,0,0,npl18,3.536803722381592,0.0014657974243164062,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5213800960824063,1.3670713901519775,0,0,npl18,3.536803722381592,0.07561588287353516,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.519651453196567,1.3670713901519775,0,0,npl18,3.536803722381592,0.018606901168823242,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5150742226540534,1.3670713901519775,0,0,npl18,3.536803722381592,0.016872644424438477,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,1.0,1.554469108581543,0,0,npl18,2.8310232162475586,0.001664876937866211,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.549143108167746,1.554469108581543,0,0,npl18,2.8310232162475586,0.142103910446167,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.5420011786357063,1.554469108581543,0,0,npl18,2.8310232162475586,0.04502439498901367,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5523146023211593,1.554469108581543,0,0,npl18,2.8310232162475586,0.04348134994506836,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,1.0,1.9822683334350586,0,0,npl18,3.034599542617798,0.0012421607971191406,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5476719167531041,1.9822683334350586,0,0,npl18,3.034599542617798,0.07354450225830078,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.5222058268678422,1.9822683334350586,0,0,npl18,3.034599542617798,0.04026365280151367,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5297047585553257,1.9822683334350586,0,0,npl18,3.034599542617798,0.037680625915527344,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,1.0,0.1543426513671875,0,0,npl18,2.8999078273773193,0.002202749252319336,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-Encoded => KIP => Decoded ] -> Onehot,KIP,GNN,encoded,decoded,False,centroid,Onehot -> [ GNN-ENC => KIP => DEC ] -> Onehot
Train - Original,0.48824897957670343,0.1543426513671875,0,0,npl18,2.8999078273773193,0.11258411407470703,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-Encoded => KIP => Decoded ] -> Onehot,KIP,GNN,encoded,decoded,False,centroid,Onehot -> [ GNN-ENC => KIP => DEC ] -> Onehot
Val,0.49008700940979305,0.1543426513671875,0,0,npl18,2.8999078273773193,0.07173514366149902,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-Encoded => KIP => Decoded ] -> Onehot,KIP,GNN,encoded,decoded,False,centroid,Onehot -> [ GNN-ENC => KIP => DEC ] -> Onehot
Test,0.48144552865882617,0.1543426513671875,0,0,npl18,2.8999078273773193,0.07229971885681152,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-Encoded => KIP => Decoded ] -> Onehot,KIP,GNN,encoded,decoded,False,centroid,Onehot -> [ GNN-ENC => KIP => DEC ] -> Onehot
Train,1.0,0.7095589637756348,0,0,npl18,3.0301549434661865,0.002042531967163086,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-Encoded => KIP => Decoded-Binary ] -> Onehot,KIP,GNN,encoded,decoded,True,centroid,Onehot -> [ GNN-ENC => KIP => DEC-BIN ] -> Onehot
Train - Original,0.49939846444144964,0.7095589637756348,0,0,npl18,3.0301549434661865,0.05217123031616211,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-Encoded => KIP => Decoded-Binary ] -> Onehot,KIP,GNN,encoded,decoded,True,centroid,Onehot -> [ GNN-ENC => KIP => DEC-BIN ] -> Onehot
Val,0.4875241828162233,0.7095589637756348,0,0,npl18,3.0301549434661865,0.018556594848632812,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-Encoded => KIP => Decoded-Binary ] -> Onehot,KIP,GNN,encoded,decoded,True,centroid,Onehot -> [ GNN-ENC => KIP => DEC-BIN ] -> Onehot
Test,0.48413973847715897,0.7095589637756348,0,0,npl18,3.0301549434661865,0.017110586166381836,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-Encoded => KIP => Decoded-Binary ] -> Onehot,KIP,GNN,encoded,decoded,True,centroid,Onehot -> [ GNN-ENC => KIP => DEC-BIN ] -> Onehot
Train,1.0,0.09284734725952148,0,0,npl18,3.2665634155273438,0.0010128021240234375,TencentCTRSmall,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-Encoded => KIP => Encoded ] -> Onehot,KIP,GNN,encoded,encoded,False,centroid,Onehot -> [ GNN-ENC => KIP => ENC ] -> Onehot
